"chunk_id","edition_id","line_id","page","line_no","box","text","text_hash","chunk_type"
19742,1,"FR19742",563,5,"[56.8, 122.71, 543.04, 143.14]","décidément que ce soir-là on raterait pas une seule gaffe à","f835edc970eeca1185e3d0b19996696b","main_text"
19743,1,"FR19743",563,6,"[56.8, 143.21, 97.84, 163.64]","faire.","d31780b1132fb3d839216462ff4f4afd","main_text"
19744,1,"FR19744",563,7,"[99.3, 163.61, 543.04, 184.04]","Le taxi allait à nouveau tout à fait doucement à cause","41dd5025cb6250d705917d633f00a8cf","main_text"
19745,1,"FR19745",563,8,"[56.8, 184.11, 543.04, 204.54]","des camions, partout échelonnés devant nous. Ça l’agaçait","24d37cbe89b0a11ccc89ad65ce1cae89","main_text"
19746,1,"FR19746",563,9,"[56.8, 204.51, 543.04, 224.94]","lui  justement  d’être  embrassé  et  il  l’a  repoussée  assez","c0e544381262dc07a3555936ef43c7cf","main_text"
19747,1,"FR19747",563,10,"[56.8, 225.01, 543.04, 245.44]","brusquement  faut  le  dire.  Bien  sûr,  c’était  pas  aimable","5224e6a9ae938fa1f231fe96dd47c70b","main_text"
19748,1,"FR19748",563,11,"[56.8, 245.41, 522.46, 265.84]","comme geste, surtout que ça se passait devant nous autres.","80b6dbe361537c7eb7c59c619d9b773b","main_text"
19749,1,"FR19749",563,12,"[99.3, 265.91, 543.04, 286.34]","Quand nous arrivâmes au bout de l’avenue de Clichy, à","298cec255b717a54e4a43b090d5ab001","main_text"
19750,1,"FR19750",563,13,"[56.8, 286.31, 543.04, 306.74]","la  Porte,  la  nuit  était  bien  tombée  déjà,  les  boutiques","153ebb285dad7f97096602f193d6fffb","main_text"
19751,1,"FR19751",563,14,"[56.8, 306.81, 543.04, 327.24]","s’allumaient. Sous le pont du chemin de fer, qui résonne","ae0e8e0418dd060bdca3928a11c51d0b","main_text"
19752,1,"FR19752",563,15,"[56.8, 327.21, 543.04, 347.64]","toujours  si  fort,  j’entends  moi  quand  même  qui  lui","b567d81e9b3f14a2c1944411de2022bf","main_text"
19753,1,"FR19753",563,16,"[56.8, 347.71, 543.04, 368.14]","redemandait encore : « Tu veux pas m’embrasser Léon ? »","85b956c6a4def496b64803abe7d5afab","main_text"
19754,1,"FR19754",563,17,"[56.8, 368.11, 543.04, 388.54]","Elle repiquait. Lui il répondait toujours pas. Du coup, elle","f8a154df82284aeaee96eac74b589bd0","main_text"
19755,1,"FR19755",563,18,"[56.8, 388.61, 543.04, 409.04]","s’est tournée vers moi et elle m’a apostrophé directement.","457cb28ebbe7ec4ab61f7b38fec46de5","main_text"
19756,1,"FR19756",563,19,"[56.8, 409.01, 355.78, 429.44]","C’était l’affront qu’elle supportait pas.","bd189a9e691274067bf18c039e48a7b8","main_text"
19757,1,"FR19757",563,20,"[99.3, 429.51, 543.04, 449.94]","— Qu’est-ce que vous lui avez encore fait à Léon pour","e5a47237feec2f4bdb4809736fcb73db","main_text"
19758,1,"FR19758",563,21,"[56.8, 449.91, 543.04, 470.34]","qu’il soye devenu si méchant ? Osez donc me le dire tout de","9d4250ab07d51280f6c3f8f432d717cc","main_text"
19759,1,"FR19759",563,22,"[56.8, 470.41, 543.04, 490.84]","suite ?... Quels trucs que vous lui avez encore racontés ?...","b39c375e2f82126ab2356b52db4b959b","main_text"
19760,1,"FR19760",563,23,"[56.8, 490.81, 358.98, 511.24]","Voilà comment qu’elle me provoquait.","c97c3037f53c08cb5083c42328ebb783","main_text"
19761,1,"FR19761",563,24,"[99.3, 511.31, 543.04, 531.74]","— Mais rien du tout ! que je lui réponds. Je lui ai rien","25397dc3f3e3f332872379b3e85a968e","main_text"
19762,1,"FR19762",563,25,"[56.8, 531.71, 486.94, 552.14]","raconté du tout !... Je m’occupe pas de vos disputes !...","f971555ed839c3626ba8d494107dc08d","main_text"
19763,1,"FR19763",563,26,"[99.3, 552.21, 543.04, 572.64]","Et le plus fort, c’est que c’était vrai, que je lui avais rien","bb7e45a5ed582d92f7c6a3f12a13909d","main_text"
19764,1,"FR19764",563,27,"[56.8, 572.61, 543.04, 593.04]","raconté du tout à son sujet à Léon. Il était libre, c’était son","66b698d0c0b21ae427a3d9c805f91615","main_text"
19765,1,"FR19765",563,28,"[56.8, 593.1, 543.04, 614.03]","affaire à lui de rester avec elle ou bien de s’en séparer. Ça ne","d190f0fbbedd61aaa35ad3009e292eb0","main_text"
19766,1,"FR19766",563,29,"[56.8, 614.01, 543.04, 634.44]","me  regardait  pas,  mais  c’était  pas  la  peine  d’essayer  la","5e8cfc611e0e4bf0321a55bf46191b00","main_text"
19767,1,"FR19767",563,30,"[56.8, 634.51, 543.04, 654.94]","convaincre, elle était plus raisonnable et on a recommencé à","646b99d68829cb535ccb62219393d41b","main_text"
19768,1,"FR19768",563,31,"[56.8, 654.91, 543.04, 675.34]","se taire face à face, dans le taxi, mais l’air restait tellement","e93762b18d5f5242220d78fdab026dd8","main_text"
19769,1,"FR19769",563,32,"[56.8, 675.41, 543.04, 695.84]","chargé  d’engueulade  que  ça  ne  pouvait  pas  résister","24fa8fe2b764c7d70541e192694192e2","main_text"
19770,1,"FR19770",563,33,"[56.8, 695.81, 543.04, 716.24]","longtemps. Elle avait pris pour me parler une de ces voix","0fea370ed6298daa2e39468b294f1033","main_text"
19771,1,"FR19771",563,34,"[56.8, 716.31, 543.04, 736.74]","minces  que  je  ne  lui  connaissais  pas  encore,  une  voix","e1d822ad59b0f5c7cb90f6022b9c05f7","main_text"
19772,1,"FR19772",563,35,"[56.8, 736.71, 543.04, 757.14]","monotone aussi comme une personne tout à fait déterminée.","89a569dac967131b322139f1ba44afed","main_text"
19773,1,"FR19773",563,36,"[56.8, 757.21, 543.04, 777.64]","En retrait comme elle s’était placée dans le coin du taxi, je","3c2042a5916fb65bc4eb1046793931cb","main_text"
19774,1,"FR19774",563,37,"[259.7, 793.7, 335.8, 805.88]","Page 565 sur 584","a868da262f830d54a10a3a080268354a","page_footer"
19775,1,"FR19775",564,1,"[221.9, 36.49, 372.67, 47.56]","L F Céline, Voyage au bout de la nuit","8b4d696ded44bd6391de7cea6f68f21a","page_header"
19776,1,"FR19776",564,2,"[56.8, 61.41, 543.04, 81.84]","ne  pouvais  presque  plus  apercevoir  ses  gestes  et  ça  me","fb004ac8f8ee51b93ad1d0d23bed2773","main_text"
19777,1,"FR19777",564,3,"[56.8, 81.81, 191.73, 102.24]","gênait beaucoup.","4a7256bb20b2072ae27465cf4a6e47d0","main_text"
19778,1,"FR19778",564,4,"[99.3, 102.31, 543.04, 122.74]","Sophie pendant ce temps-là, me tenait par la main. Elle","f88dce7c6738828f51ac265ac224475e","main_text"
19779,1,"FR19779",564,5,"[56.8, 122.71, 524.26, 143.14]","ne savait plus où se fourrer Sophie, du coup, la pauvre fille.","bf3b3592385abaca3ba078884ba78f79","main_text"
19780,1,"FR19780",564,6,"[99.3, 143.21, 543.04, 163.64]","Comme nous venions  de dépasser Saint-Ouen, c’est","3e0e95f89f450c79a2ddcdbd41af6819","main_text"
19781,1,"FR19781",564,7,"[56.8, 163.61, 543.04, 184.04]","Madelon qui a recommencé la séance des griefs qu’elle avait","725db9bdf4b45ce57ab3c8168212b996","main_text"
19782,1,"FR19782",564,8,"[56.8, 184.11, 543.04, 204.54]","contre Léon et avec une frénétique ampleur, en lui reposant","d526fb69ffeb1ac7e21aec983247978d","main_text"
19783,1,"FR19783",564,9,"[56.8, 204.51, 543.04, 224.94]","des  questions à n’en plus finir  et tout haut à présent à","e9fe94cad7448ed9b094fede71ee3b72","main_text"
